arr_size,n_comps
1038,270635
5439,7482475
4369,4745971
6792,11502865
2036,1044582
6985,12026698
9208,21247679
7583,14441177
7646,14511525
6794,11577850
7609,14488612
1734,742072
1731,732315
4698,5446461
5688,8069699
4453,5003207
6565,10823898
9304,21739147
9156,20919553
1522,575457
4381,4874750
3274,2628427
4574,5220586
379,37187
1724,760183
664,107280
4105,4202392
2804,1991196
7779,15120829
3514,3171034
3096,2406732
3957,4018304
528,69967
6673,11207270
5808,8380255
9469,22207747
9847,24492956
1135,325230
3087,2432094
9330,21468956
9752,23903028
8314,17113314
3488,3039911
7102,12790936
4641,5340019
1792,796782
5033,6331784
4859,5855056
6755,11318137
5002,6297099
4028,4046853
4215,4440955
2231,1236054
6362,10188744
8608,18352999
9849,24181711
6900,11958442
7951,15797817
8493,18022324
8429,17715320
2009,1010096
293,20918
615,96737
7923,15700979
6801,11624755
4913,6036693
8648,18697323
936,221762
93,2342
2258,1264820
1128,316507
2445,1494508
3874,3824125
1594,640458
2313,1341672
9530,22825401
1637,676631
3974,3943724
3130,2479953
1597,647806
8612,18439498
4529,5150737
7246,13256285
4390,4806613
885,187967
1182,355189
8357,17393093
6002,9075500
1501,572748
4667,5445966
9607,23085976
7119,12802794
7306,13316229
2193,1208742
2816,1980669
5889,8587635
426,45144
6881,11946915
9592,23159375
946,216313
