arr_size,n_comps
355,2909
461,3911
52,276
407,3400
164,1135
626,5584
622,5561
536,4667
531,4625
445,3748
847,7912
465,3968
150,1027
725,6643
456,3856
851,8007
335,2685
915,8694
462,3945
108,702
520,4489
572,5027
891,8419
819,7633
434,3637
401,3303
781,7196
66,373
590,5225
736,6777
511,4426
114,736
546,4765
651,5831
695,6357
866,8141
211,1568
318,2552
744,6833
999,9575
704,6380
496,4285
341,2725
143,980
765,7078
657,5918
35,170
790,7329
577,5059
741,6791
424,3542
558,4912
688,6243
719,6572
69,412
589,5211
327,2608
632,5650
171,1198
316,2528
537,4664
87,530
810,7523
232,1740
471,3979
709,6466
732,6715
541,4727
720,6610
173,1220
929,8829
266,2032
910,8594
407,3356
44,233
725,6623
303,2391
607,5387
785,7302
951,8998
749,6920
969,9199
456,3871
187,1348
63,355
150,1024
112,715
814,7576
880,8271
828,7746
384,3157
110,713
200,1466
283,2199
559,4930
149,1020
42,214
385,3176
377,3125
942,8940
