arr_size,n_comps
420,1884
103,315
715,4308
942,5612
583,2958
955,4541
754,3598
109,270
144,526
728,3990
80,214
664,3766
385,1964
693,3460
414,1944
65,179
745,4223
744,3610
140,500
919,4739
751,4121
123,468
51,132
981,4779
239,1049
428,1874
992,6315
937,4119
760,5183
808,4554
937,4846
238,1245
868,4586
73,214
105,288
35,84
980,5161
272,1054
597,3432
250,1608
765,4226
533,2166
448,2398
270,1088
32,71
45,90
182,708
347,1525
441,2250
272,1325
46,134
415,1698
702,3577
621,3310
997,5672
285,1265
516,2859
963,5482
148,429
208,703
939,5070
903,5448
754,3276
943,5788
528,3128
43,137
882,4571
102,343
288,1075
470,2151
418,2019
963,4218
267,994
795,4365
47,108
312,1713
790,4369
703,3947
173,765
306,1295
46,118
375,1528
752,4035
816,3838
307,1254
308,1201
398,1669
687,3539
741,2930
475,2219
420,2113
451,2248
273,935
629,3086
78,340
446,1590
606,2926
347,1347
376,1537
719,4688
