Enter Centre (x y): 2 2
Enter Radius (r): 50

Ist OCTANT
-------------

i       Pixel   d       Plotted Values
-------------------------------------
0                       (2,52)
1       E       -49     (1,50)
2       E       -46     (2,50)
3       E       -41     (3,50)
4       E       -34     (4,50)
5       E       -25     (5,50)
6       E       -14     (6,50)
7       E       -1      (7,50)
8       SE      14      (8,49)
9       E       -67     (9,49)
10      E       -48     (10,49)
11      E       -27     (11,49)
12      E       -4      (12,49)
13      SE      21      (13,48)
14      E       -48     (14,48)
15      E       -19     (15,48)
16      SE      12      (16,47)
17      E       -49     (17,47)
18      E       -14     (18,47)
19      SE      23      (19,46)
20      E       -30     (20,46)
21      SE      11      (21,45)
22      E       -36     (22,45)
23      SE      9       (23,44)
24      E       -32     (24,44)
25      SE      17      (25,43)
26      E       -18     (26,43)
27      SE      35      (27,42)
28      SE      6       (28,41)
29      E       -19     (29,41)
30      SE      40      (30,40)
31      SE      21      (31,39)
32      SE      6       (32,38)
33      E       -5      (33,38)
34      SE      62      (34,37)
35      SE      57      (35,36)
36      SE      56      (36,35)
